Type,From,To,Quantity,App,Date,Transaction Hash,Memo
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 04:52:33 AM UTC","0xe792185606ccd83da303443125a9a942a71bb25f4acce759482c99c7e6a60d71","SWAPX:18.51|0.60|5.4075|pxusdt|e9040088820240718045224587396314"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.72543","FALTA ESSE","Jul-18-2024 04:38:41 AM UTC","0x646e5102fe34d95d7a646596fe24896edd67f13108c9e7d6666572c8396f401d","SWAPX:31.99|1.03|5.4075|pxusdt|e9040088820240718043824587328240"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 04:35:31 AM UTC","0xc48e99312cd753d7ae180effc37efa09a2975d3672fa7651f74c8441e7c40519","SWAPX:13.49|0.44|5.4075|pxusdt|e10573521202407180435jj8yjyomkjt"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 04:11:21 AM UTC","0xde08288c1d840be290caf78dca4c5ab5d2c6b4cd19c917f8a4375a81a6e05103","SWAPX:13.49|0.44|5.4075|pxusdt|e165015552024071804110f74b1b188c"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 03:43:25 AM UTC","0x721783693f37352f6a703cc85b372fbb82d27cc68ba0cded15ad30684a5be54c","SWAPX:29.76|0.96|5.4075|pxusdt|e18236120202407180343s129456adf8"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 03:27:45 AM UTC","0xf95cbc470f559fc420adde593afaefde5ba1b0c49fd692773ff0315f2bf7563f","SWAPX:29.76|0.96|5.4075|pxusdt|e228964312024071803273d1aoxj8h9g"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.32598","FALTA ESSE","Jul-18-2024 03:24:31 AM UTC","0x36e86dad48bf20f1f206d555638cd64b70ff4b20f35ae71a4d947224ad9059cd","SWAPX:29.76|0.96|5.4075|pxusdt|e00416968202407180324hq1ea6znmkj"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","1.99539","FALTA ESSE","Jul-18-2024 03:23:19 AM UTC","0x5fe3f146fb47f36e9644a816ba7c3e5e12126bad6a147f9cc752171a46ad3d10","SWAPX:11.16|0.37|5.4075|pxusdt|e0955448020240718032246410794283"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 03:15:01 AM UTC","0x181f9cc2a3df9ab5cf08ac61d9e98bfa8c272b67b0ea747b27fb00fac7cacf5d","SWAPX:13.49|0.44|5.4075|pxusdt|e60701190202407180314dy5oc5r6r5d"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","1.99539","FALTA ESSE","Jul-18-2024 03:07:39 AM UTC","0x732c2a29e2f2afe887521df632834a20f9ddd9e97dc52d1c34fbc6b8df2c125a","SWAPX:11.16|0.37|5.4075|pxusdt|e9040088820240718030724586643047"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 03:06:01 AM UTC","0x70df86634e33c4767ebf487a48b6d57199d6c4c9f6c2cf5843345e1c52f55af8","SWAPX:13.49|0.44|5.4075|pxusdt|e0000000020240718030531740087487"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","4.47103","FALTA ESSE","Jul-18-2024 03:01:05 AM UTC","0x3fa44b5ba760b78898b3d3d550a74971d0cf01de50b6c9bb2f421b2d48887123","SWAPX:25.00|0.81|5.4104|pxusdt|e54190525202407180300wtgkgxlkuqi"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.29168","FALTA ESSE","Jul-18-2024 02:58:57 AM UTC","0x9c89805d23dc7789a3899f498b08bc21f219c40943709311471f5b9362065b17","SWAPX:29.59|0.96|5.4104|pxusdt|e0000000020240718025835752222674"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41203","FALTA ESSE","Jul-18-2024 02:53:03 AM UTC","0x3a15d715b24045577ee199a8532f262edd77ac5074d619870bfcaade625e93b8","SWAPX:13.49|0.44|5.4104|pxusdt|e18236120202407180252s05ebbecd66"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","4.15867","FALTA ESSE","Jul-18-2024 02:52:45 AM UTC","0x9eeb0e52e93ddaee49dedaf2becbfb2f2140471fa92761527e2970878b810407","SWAPX:23.25|0.75|5.4104|pxusdt|e10573521202407180252a9e4myrmyld"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","23.29227","FALTA ESSE","Jul-18-2024 02:41:03 AM UTC","0x5a818d7218d405f25bff9a78aa180f1e4a33571b5d4a2986c36d5b39220ce3d4","SWAPX:130.20|4.18|5.4104|pxusdt|e60701190202407180240dy5zv81q88r"
